Days ago,Price (USD),Market Cap (USD),Volume (USD),Days ago,Price (USD),Market Cap (USD),Volume (USD),CV_9day,CC_9day,CV_20day,CC_20day,CV_50day,CC_50day,CV_200day,CC_200day,CV_365day,CC_365day
0.0,3.493136594251142,0.0,1714196.8196819588,0.0,42254.738123237206,799547462142.6093,15479727288.782782,-39.27691642049442,-0.7198580649564876,110.15074510814219,0.5176599284927157,207.77940622967358,0.5648842731363062,139.66015256862119,0.0527465131913188,2348.642778673552,0.41473252746255085
1.0,3.566468102837167,0.0,2343999.4506945903,1.0,42445.38876793804,803706779791.898,23279080009.72499,-23.822724009194953,-0.3919485924602087,134.45834234025847,0.605088955161303,217.94245389778715,0.5983818963916284,163.83303021619815,0.06165081197027161,,
2.0,3.5566861188615793,0.0,2720936.11830761,2.0,43628.13953235228,826942197610.3904,27877618433.98099,0.1447221452107427,0.002115006530052196,161.20759590510522,0.6962967079175874,229.07067305957833,0.6378512932676316,191.40395879063303,0.0717170489716139,,
3.0,3.605277236508565,0.0,4097335.3453181796,3.0,44383.88805541707,841339973338.8694,19780565063.098923,20.10462035349823,0.2713763908903494,186.64918680841063,0.7716982169213198,236.08798596461122,0.6662190917826246,223.09088003940752,0.08299451084286688,,
4.0,3.569349115677183,0.0,2805346.8118566433,4.0,44184.447511676175,837406846076.2306,29024977264.932137,37.36481426037632,0.48992469295771257,201.06259401208092,0.8354703637087665,243.18229389403527,0.6935171401997906,260.93920767693896,0.0961676869558629,,
5.0,3.3627753868682753,0.0,3271622.374543409,5.0,43910.929986443094,833392518214.8341,24171856714.475758,55.8504292568127,0.6992194706091153,208.90908856276567,0.8913346938271348,247.4183874558601,0.7067761555053382,302.66520621579747,0.11033148033753333,,
6.0,3.3414423013074406,0.0,3892842.1963640912,6.0,42475.543220951215,804942041477.0581,13206494654.908047,72.59428669986497,0.8185193747520411,213.55597846681025,0.9196735658600029,249.63013958549087,0.7112777660288823,348.48582074482266,0.12525653009340523,,
7.0,3.1282176109261006,0.0,3248509.1778776664,7.0,41493.690050910525,786295053042.2418,16752051696.248552,89.80909496152283,0.9306183179143775,218.6317052714185,0.9525861563660125,252.88652996864386,0.7187756094525367,398.3038745178356,0.14110885462465989,,
8.0,2.824806003555078,0.0,1501912.0665249096,8.0,41673.8395543094,777355085535.6107,25347215343.882504,105.2047580056772,0.9794150870937359,220.06126742412997,0.964626200228455,251.35510122882172,0.6997247458463907,452.1569922104583,0.15744767043509758,,
9.0,2.7652980759292056,0.0,1360558.7829067588,9.0,37101.351593780935,703003347951.7092,16136299994.837618,117.1474584170699,0.9828086906187821,214.732157687553,0.9496852483781544,247.0193048090587,0.6794919996847075,505.1170312229246,0.17277269253425237,,
10.0,2.5167201771129935,0.0,1164109.0136297808,10.0,37000.98249864199,700645616423.8325,16709908527.231106,124.72391244624119,0.9965781538889604,205.68272151664632,0.943223383571154,240.78558079585216,0.6570905925566249,545.7695765715532,0.18443588087303173,,
11.0,2.498705271786202,0.0,1557017.649499858,11.0,38835.69494322237,736102274236.6057,17109120250.158987,125.39192590413542,0.9965965412782328,190.36817988111335,0.9328163111636875,225.92730091886327,0.6106938261097247,576.9757683369011,0.19301394869137148,,
12.0,2.595595571316925,0.0,1848049.9878833462,12.0,38555.53446121157,727905398095.9747,17731563487.283978,128.79506221928915,0.9993386718079192,177.30527543514603,0.9284891911790698,208.11180165899628,0.5470605694287484,612.4233391893754,0.20246779943121604,,
13.0,2.5738839701971754,0.0,1323400.6101656137,13.0,37983.151499406464,719570142321.8397,11807185113.633108,135.86132511425595,0.9985929370781924,166.45364496645652,0.9190720025016816,199.73923133063823,0.5338471883264985,647.470402597887,0.21165394910796823,,
14.0,2.5543581747862776,0.0,1584526.4995619387,14.0,38232.17873217708,722829009646.1814,14178650231.62196,142.15927229918248,0.9973996115985161,157.54091195255276,0.914884021239186,191.25263021168936,0.49016248711619004,677.6613965246132,0.21944897151830284,,
15.0,2.5895835989262377,0.0,1319742.2336887894,15.0,37852.57902803263,717026944842.8334,19214103304.052933,137.80690851313008,0.9957066212866006,150.88151061903216,0.9099927344662463,175.01785177861163,0.4245801438312184,704.9098611660104,0.22631165327183086,,
16.0,2.572863027874279,0.0,1544661.0717217044,16.0,37276.839558174994,702311456032.8538,22057410457.280827,127.4411815856104,0.98930596166361,144.92604860423734,0.9044013650307018,161.76437306974935,0.37892372798884927,732.3690557248834,0.23318300014312446,,
17.0,2.5276536032630457,0.0,1511294.1820983086,17.0,36870.440166930995,700165819656.2855,26756873749.744743,114.6224115519733,0.9784522717248677,139.26213283031794,0.8958721535512495,159.89003402654265,0.3586635652474608,752.1502745845173,0.23811044897995418,,
18.0,2.5187890930416774,0.0,1909922.6904886514,18.0,36988.928510667356,700571452648.8236,46168918584.85349,99.37076090112656,0.959764858336495,129.49988710616503,0.8793504170111475,159.6175513642182,0.3370619201065269,767.1287687918203,0.2417356580681996,,
19.0,2.505652810898494,0.0,1859451.6231795955,19.0,36774.00714224005,696465421899.37,36385158448.60688,83.39319969383409,0.9349097381263878,113.88657537362137,0.8582768647072773,154.62167802086282,0.32626716645342646,782.0698731238949,0.24533013948151594,,
20.0,2.5093919201750956,0.0,2168161.5889106453,20.0,36306.409440464704,687575973800.0704,22865032968.608204,65.30449615891642,0.8770928434426665,96.88536161996599,0.8303351543491904,143.39447083816137,0.3075615896390928,797.781028767744,0.2489969184428203,,
21.0,2.511794938043285,0.0,1570306.7396603543,21.0,35180.435462830384,666220701468.4846,35517336417.257744,47.401655167192914,0.8055731683697815,77.49419124846058,0.7115858298768323,133.69205459630382,0.28120024777333225,813.2807073041004,0.25271822122987464,,
22.0,2.434577835708663,0.0,2283625.6875213087,22.0,36508.799789830824,692855029162.9379,38296960033.31628,29.305306121218894,0.6997855383309073,58.14347397579221,0.6164715820249882,139.93709170284637,0.30888044016566457,823.9348259357928,0.25534681630570705,,
23.0,2.6070209665251283,0.0,2617751.6743620373,23.0,40707.6824143097,774235809673.4731,20930163211.171124,10.760708980233602,0.49190591555544455,38.78581561559966,0.4968615802852825,157.076560633679,0.35157820275718793,833.549996591222,0.2575183613338495,,
24.0,2.910931817048941,0.0,1764848.3854235387,24.0,41749.55143098559,790507925308.7825,19626113309.554142,2.7558652147518625,0.2971322106421273,28.216113622128322,0.3846658307972482,176.9590419368397,0.3824674900727193,851.4928684625933,0.2615901735448345,,
25.0,2.9767632541931994,0.0,1799925.0154935601,25.0,42395.45879157343,803962100417.9756,18897950050.285973,4.482252646599777,0.35918495332486966,25.47183769788713,0.3586530143807235,184.05197232910376,0.38656296430287396,874.6104883394515,0.26684654717377365,,
26.0,3.0109917900158716,0.0,2067208.8292371917,26.0,42298.341116872325,800822650383.9624,17694929625.845875,9.919818852086845,0.4812576011395117,23.316177975056355,0.33244804003060296,187.4568687826625,0.37821412810171257,902.7811503467013,0.2731676156253518,,
27.0,3.052429467028504,0.0,2071102.9307690957,27.0,43119.79214308028,816325578941.135,14452346388.550371,16.103438294341615,0.5987253991158972,22.624695743383395,0.32866306493878333,188.97543128400838,0.37005570183134545,934.4729471839638,0.2802287842759495,,
28.0,3.158167028327906,0.0,1923310.4730977907,28.0,43226.65026980921,816800318526.6782,14651008624.734596,24.40562341186513,0.7027059191286386,25.431908993055185,0.36581561518854616,188.58972845775304,0.36566539591014946,963.4902021041305,0.28663799937379125,,
29.0,3.1002893781309986,0.0,2232628.6324299206,29.0,43120.85451108056,816129314317.4397,20238314434.86153,31.915187835681895,0.7988338969965016,29.77158961682995,0.425444205841562,187.71899197870212,0.3619199204469702,988.310957844382,0.2921767284853262,,
30.0,3.003698348221716,0.0,2299362.123628253,30.0,42608.41001195019,806510860231.8285,43905745871.292786,32.9277663032162,0.8335259872691873,33.16676813145774,0.47263863972650955,183.59989067128797,0.337075043620396,1014.0534562430644,0.2976584837360627,,
31.0,2.984952499435988,0.0,3807967.893934131,31.0,43981.87732717414,832460077955.3481,28250302540.221024,31.909107642988026,0.8437918052422846,35.56809540343138,0.5088425828260831,184.2050987065609,0.3294611187706701,1041.77777420022,0.3034718630186923,,
32.0,2.9902830664462967,0.0,6305646.52544994,32.0,42777.211020482355,809621515508.4065,22813557397.82151,28.983978032603684,0.6652427125160706,37.96357397149454,0.5343785620703717,182.97591351771996,0.31594200492299396,1075.2388342541356,0.3100432611084059,,
33.0,2.8068097518284696,0.0,1163357.4977624132,33.0,41869.85905559219,792407724467.5966,27984634062.049942,27.551154123591665,0.6266242320817585,37.98527350674491,0.5475005307765427,182.4427794737743,0.3094218535013907,1101.2226860125143,0.31483191031337987,,
